,GSM1377859,GSM1377860,GSM1377861,GSM1377862,GSM1377863,GSM1377864,GSM1377865,GSM1377866,GSM1377867,GSM1377868,GSM1377869,GSM1377870,GSM1377871,GSM1377872,GSM1377873,GSM1377874,GSM1377875,GSM1377876,GSM1377877,GSM1377878,GSM1377879,GSM1377880,GSM1377881,GSM1377882,GSM1377883,GSM1377884,GSM1377885,GSM1377886,GSM1377887,GSM1377888,GSM1377889,GSM1377890,GSM1377891,GSM1377892,GSM1377893,GSM1377894,GSM1377895,GSM1377896,GSM1377897,GSM1377898,GSM1377899,GSM1377900,GSM1377901,GSM1377902,GSM1377903,GSM1377904,GSM1377905,GSM1377906,GSM1377907
ENSMUSG00000076138,1.913041499,4.82E-16,1.32E-09,0,0,0,0,0,2.478644402,1.84E-14,0,0,9.64E-15,0,2.39E-14,0,1.05E-11,0.127570929,0,0,3.36E-06,2.401154026,3.15669147,0.021940929,2.048791274,2.778214942,2.100797736,0,0,2.532252294,3.112504459,3.245707563,5.64E-14,2.987746236,2.640290584,2.873963138,0,2.427171148,3.100246443,3.212243553,2.268683257,3.414487,3.336769833,2.990788015,0.680304686,6.12E-08,3.305542675,3.310703931,3.141349419
ENSMUSG00000077704,0,0,0,0,0,0,0,0,0,2.623372323,0,3.11393333,3.025731757,2.818514227,0,0,0,0,0,0,0,0,0,3.573385716,0,0,0,3.375348979,0,0,0,0,0,2.613156554,0,3.217186416,0,3.006080783,0,3.563419378,2.88973522,3.168335403,2.65318549,2.587165229,0,0,0,0,0
ENSMUSG00000087938,0,0,0,0,0,0,0,0,0,3.298197867,3.187997055,3.288546555,3.451803316,3.345988954,3.281292502,2.490236676,3.328473385,3.258965154,3.112219461,3.185881978,2.606569447,3.114737718,2.57838704,3.251100189,3.196916425,0,2.985694064,2.81847597,3.648698531,3.123978972,2.928192998,3.438186224,3.045107734,3.006671374,0,2.693200906,3.091191963,0,3.420238031,3.158914058,2.952249841,3.102148885,3.308449156,2.939595123,3.496460523,3.169045162,3.267148252,2.631284431,3.534559123
ENSMUSG00000084616,0,0,0,0,0,3.251304768,0,3.028107432,0,2.917405721,3.013587105,2.59846439,3.195002475,0,2.792953807,2.713886016,0,0,3.151725232,0,3.143030422,0,2.808670015,2.881448569,0,0,2.603659589,3.027304749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.084887143,0,0
ENSMUSG00000080461,2.43767289,0,2.168417924,0,0,0,0,2.228272002,2.610112692,2.39016293,2.527932642,1.805921356,2.924087948,2.283025183,0,2.828247959,0,2.898455309,0,0,0,2.13036272,2.460374571,0,0,0,0,2.652998209,0,3.087749483,3.259605823,3.159792703,2.062017599,3.138905554,3.359216789,2.994428022,2.92696771,3.451178305,3.583919354,3.333084371,3.12123474,3.219351338,2.801481231,3.144981848,1.991919507,3.166767471,3.30053027,3.233977877,2.930470178
ENSMUSG00000088476,3.087848828,3.005386453,2.913272236,3.301062567,2.936967404,3.27889758,0,2.614105911,2.994849244,0,0,0,2.732377675,0,0,2.597130016,2.900778285,0,0,2.874435429,3.116946282,0,2.309794061,0,0,0,2.737490819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064600,0,0,1.72748839,0,0,0,2.344573028,0,0,2.87626173,2.949612465,2.993665442,2.338577999,3.16988301,2.425208051,2.470508983,1.779835215,3.046159461,2.893863806,0,1.846373611,1.69255171,0,0,0,2.371633001,2.259189974,2.588836203,2.364192531,2.764917015,3.142864802,3.08045692,3.33583887,3.310905629,3.299511657,3.364614775,3.194033994,3.464234619,3.323955067,3.36858809,3.471259431,3.488498542,3.351336268,3.434698215,0,3.528572212,3.420935521,3.458335626,3.506702517
ENSMUSG00000088651,5.60E-08,2.05E-05,0,2.188008323,0,2.564786751,0,2.394877011,2.38E-10,3.021821668,2.650691126,0,0,3.127904589,2.108236811,2.837685008,2.781111711,2.841880436,2.960786038,0,0,0.240508063,2.288671686,0,1.850184744,0,1.92221407,2.594126146,1.960248579,2.352533672,0,2.916067913,2.899246899,4.33E-13,2.708710616,2.957280605,0,0,3.052743946,0,3.158075884,0,0,2.080305337,3.070281742,2.808618735,2.806287177,2.831125271,0
ENSMUSG00000088323,0,1.943113476,0,0,2.048996942,2.209230754,0,0,0,1.919504852,2.859199563,0,0,0,0,0,0,2.730254829,0,2.046682421,0,1.615522908,0,0,0,0,0,2.501157892,2.933805047,0,2.694606076,2.180922593,2.933237674,2.887151816,1.964905169,2.979220482,2.309619523,3.051048279,3.030020546,2.79521382,2.974899759,2.43803102,0,0,0,3.090247469,3.072415347,2.955130939,2.900877603
ENSMUSG00000094462,0,2.338376799,0,0,0,0,2.151780351,0,0,2.965661631,2.866902597,2.480060148,2.517971391,2.471837171,2.9886508,0,0,2.451086089,2.49890575,0,0,2.27345039,2.782095499,0,0,0,2.712822207,2.737661682,2.315535834,3.023166004,2.735605286,0,0,2.297832705,3.129228935,2.792100194,2.542943629,2.680097901,3.194625329,0,0,2.223488153,0,3.027639041,2.204917266,2.989934124,2.830556593,0,2.735102051
